event_id,date,procedural,dir_banks,dir_psp,dose_eur,surprise,status,justification,dir_bigtech
E01,2023-06-28,0,-1,-1,,high,coded,Commission proposal makes issuance legally possible; unfavourable for incumbent deposit takers and incumbent payment rails,
E02,2023-10-19,1,0,0,,low,coded,Committee referral; no design content,
E03,2023-10-31,0,-1,0,,low,coded,ECB opinion supports the project and argues for ECB discretion over limits,
E04,2024-02-09,0,0,0,,low,coded,"VERIFIED (EP Legislative Train): draft report tabled 09.02.2024 by rapporteur Berger; NO VOTE ever took place on it and the file stalled, with three shadow rapporteurs writing to the committee chair about delays in mid-2024. Content of the draft not retrievable; coded zero with low surprise because the market could not price a text that never moved to a vote",0
E05,2024-02-20,0,0,0,,low,coded,"LIBE opinion, privacy only; no quantity or fee content",
E06,2024-02-21,0,0,0,,low,coded,Amendments tabled 21.02.2024 to a draft report that was never voted; coded zero for the same reason as E04,0
E07,2024-11-13,1,0,0,,none,coded,Resumption of business after the term; pure procedure; FALSIFICATION EVENT,
E08,2024-12-16,0,0,0,,low,coded,"VERIFIED (EP Legislative Train): Berger (EPP, rapporteur since July 2023) stepped down in December 2024 and Navarrete Rojas (EPP) succeeded him. At the date of appointment the successor had no publicly documented position on the file; his sceptical paper arguing that the digital euro does not solve European dependence on non-European card networks appeared only in 2025. Direction therefore coded zero at the appointment date, and the change of position is treated as becoming public later",0
E09,2025-07-03,1,0,0,,none,coded,LIBE opinion rapporteur appointed; pure procedure,
E18,2025-07-08,0,,,,,to_verify,ECOFIN backing; date and content not verified,
E10,2025-07-15,0,0,0,,low,coded,LIBE opinion; privacy content only,
